Year,Depletion,Indicator,CI_low,CI_high
2003,0.540048,36573.57772,30155.48615,44357.6529
2004,0.587243,35080.40025,28544.97959,43112.11637
2005,0.627658,45059.59004,37179.78189,54609.42887
2006,0.610373,32611.01161,26820.80684,39651.23363
2007,0.607863,35541.65039,29706.99223,42522.27565
2008,0.566829,40512.72484,33929.56155,48373.18252
2009,0.521864,46741.55325,39395.65573,55457.20105
2010,0.453152,56357.2994,47245.61868,67226.23779
2011,0.470638,58071.23677,48736.37472,69194.07853
2012,0.518419,56187.65897,46532.92152,67845.57936
2013,0.570524,75684.90657,58660.17538,97650.66412
2014,0.594531,55364.53383,46892.38072,65367.37012
2015,0.628475,44656.23614,38187.13157,52221.24166
2016,0.718543,47643.48979,40168.28054,56509.81544
2017,0.867379,48627.93666,40863.16966,57868.15471
2018,,34168.99463,28471.60128,41006.4816
2019,,34546.75255,26559.07236,44936.73934
2021,,32051.58179,26420.35758,38883.04282
2022,,51686.80619,41411.83628,64511.16816
2023,,68612.55734,56908.38121,82723.89629
2024,,57944.2911,48501.48298,69225.53011
2025,,63744.53037,53734.42235,75619.40698
