Year,Depletion,Indicator,CI_low,CI_high
2003,0.6818,5310.946594,3705.315229,7612.349284
2004,0.6702,6175.284019,4164.323947,9157.340593
2005,0.6578,6536.996666,4778.080075,8943.409223
2006,0.6513,7041.279554,5077.27337,9765.008528
2007,0.6452,6815.177276,5005.962438,9278.264045
2008,0.6399,5552.012337,4272.809451,7214.185735
2009,0.6364,6088.506991,4445.830526,8338.13101
2010,0.6318,4192.725893,3171.982938,5541.943559
2011,0.6321,4427.164362,3264.902825,6003.175389
2012,0.6354,6777.952254,5037.91549,9118.977253
2013,0.6372,5155.608315,3489.436084,7617.36179
2014,,4292.477138,3153.274111,5843.247156
2015,,5040.622749,3750.331273,6774.835567
2016,,5443.152294,4013.287599,7382.452955
2017,,6203.650355,4604.699341,8357.8264
2018,,6162.825461,4588.735116,8276.88169
2019,,5351.71993,3310.191551,8652.34104
2021,,6918.760662,5085.50134,9412.886931
2022,,6194.463716,4408.432632,8704.086902
2023,,4717.121353,3426.0345,6494.748919
2024,,5981.274352,4340.561258,8242.16979
2025,,6881.857271,5083.519696,9316.371791
