Year,Depletion,Indicator,CI_low,CI_high
2003,0.7544,9525.165321,6920.4028,13110.33144
2004,0.7553,14412.72775,10907.70718,19044.03168
2005,0.7596,10666.05404,8259.29767,13774.13836
2006,0.7616,8993.485916,6485.536357,12471.25673
2007,0.7605,8884.311707,6621.276376,11920.81255
2008,0.7637,5687.532834,3956.881874,8175.131523
2009,0.7629,9555.291797,7188.650609,12701.0765
2010,0.7679,10843.96202,8718.484432,13487.60936
2011,0.7733,7668.98586,5987.18239,9823.209031
2012,0.7764,10195.14814,7986.979096,13013.81215
2013,0.7799,11114.08556,8383.226081,14734.53019
2014,0.7886,17911.80938,14650.91271,21898.4934
2015,0.7884,16358.07381,13226.85596,20230.5506
2016,0.7893,16087.21711,12535.7251,20644.88111
2017,0.7862,12664.90128,10087.66973,15900.57255
2018,0.7874,14187.80829,11291.47651,17827.06663
2019,0.7919,12248.62383,8727.080774,17191.17648
2021,,8734.376799,6645.244541,11480.29054
2022,,14327.03723,11272.74431,18208.87534
2023,,8831.080034,6813.542747,11446.02411
2024,,5584.869184,4146.416709,7522.341817
2025,,6853.498535,5132.165612,9152.168054
