Year,Depletion,Indicator,CI_low,CI_high
2003,0.2519,405.0414676,160.8379605,1020.024066
2004,0.2599,2013.973129,828.3402988,4896.644255
2005,0.2697,449.950574,171.5411647,1180.215369
2006,0.2823,661.1746967,278.5949888,1569.130807
2007,0.2944,771.8000732,323.9110118,1839.009269
2008,0.3088,1226.470622,638.5246612,2355.790273
2009,0.3214,1597.359897,809.567455,3151.755453
2010,0.3304,619.2216637,300.2793322,1276.929271
2011,0.3377,647.8808074,325.4199123,1289.870486
2012,0.3447,546.9248394,263.7810387,1133.99652
2013,0.3488,661.7329083,269.8543878,1622.691577
2014,0.3596,1758.533203,776.4720181,3982.679292
2015,0.3699,858.7361091,416.000721,1772.65968
2016,0.3818,1037.545174,493.4700752,2181.489907
2017,0.3937,1432.21271,707.0312227,2901.191888
2018,,1788.180908,965.5919024,3311.534564
2019,,1013.798417,332.9319619,3087.078888
2021,,2463.871702,1188.782592,5106.622358
2022,,2230.478252,1077.14095,4618.739299
2023,,1136.688515,557.3507373,2318.218481
2024,,2666.690697,968.0502907,7345.939918
2025,,881.9138396,394.0351995,1973.864319
