Year,Depletion,Indicator,CI_low,CI_high
2003,0.2877,1844.168447,1066.302874,3189.485222
2004,0.3075,9186.333428,4626.654196,18239.68645
2005,0.316,2568.318563,1481.219305,4453.263755
2006,0.3198,3224.481482,1758.757112,5911.720702
2007,0.321,2789.836251,1253.466176,6209.330939
2008,0.3179,2223.64006,1082.467266,4567.874959
2009,0.3111,1226.579698,580.2000741,2593.067156
2010,0.2999,800.6209639,425.0070282,1508.196066
2011,0.2871,896.4115958,413.0842775,1945.253773
2012,0.28,4187.128442,2392.157676,7328.966968
2013,0.2883,4066.762676,2445.923582,6761.68249
2014,0.3062,5418.731132,3409.999126,8610.749149
2015,0.3379,3852.429142,2259.594427,6568.085901
2016,0.4078,13468.85526,8426.358919,21528.87906
2017,0.4861,7263.336146,4791.26862,11010.87335
2018,,13208.54244,8051.613605,21668.40113
2019,,14498.10801,7898.507717,26612.00615
2021,,7967.440659,5462.455191,11621.16822
2022,,6641.892435,3998.452946,11032.95092
2023,,6459.045348,4141.406939,10073.69414
2024,,13275.21393,8333.699573,21146.8272
2025,,8956.104534,5954.855362,13469.98433
