Year,Depletion,Indicator,CI_low,CI_high
2003,0.29794,56114.0766,32878.56593,95770.28387
2004,0.39437,142612.2352,81164.61472,250580.2521
2005,0.47479,144267.7419,83750.34506,248514.5744
2006,0.53756,83136.49146,46097.19348,149937.0285
2007,0.58229,137923.7957,74683.57648,254714.2801
2008,0.60691,53721.23934,30751.30225,93848.75907
2009,0.6098,52819.0835,29974.18558,93075.27555
2010,0.59297,34380.94039,20618.8626,57328.52895
2011,0.56674,38842.70541,22408.4172,67329.86764
2012,0.54953,52235.56199,31356.11275,87018.24609
2013,0.55577,70538.87658,41654.2066,119453.3161
2014,0.58091,79035.12505,49343.4968,126593.1966
2015,0.6255,54371.51964,32543.75055,90839.6266
2016,0.69765,90908.7274,55602.82343,148632.681
2017,0.78776,53788.20122,31965.83507,90508.21241
2018,0.8716,86605.15222,50754.60025,147778.7699
2019,0.93761,73293.20728,38035.13876,141235.0371
2021,0.9835,66169.798,41228.20685,106200.1601
2022,0.9638,88584.9311,53372.85369,147027.7393
2023,0.9274,94330.82146,55841.3258,159349.796
2024,0.8779,85034.83568,51796.72075,139601.9511
2025,0.8324,104687.7948,64264.81748,170537.081
