Year,Depletion,Indicator,CI_low,CI_high
2003,0.1835,12207.78361,8335.366343,17879.23583
2004,0.192,9309.057604,6189.811416,14000.19284
2005,0.20338,8893.478702,6173.587338,12811.66996
2006,0.22153,8123.059525,5786.378179,11403.35008
2007,0.24114,7852.358816,5606.46526,10997.93473
2008,0.25864,5588.439663,3886.815206,8035.025135
2009,0.27374,10141.14905,7220.423826,14243.33342
2010,0.28599,8040.799587,5616.368996,11511.78957
2011,0.29653,8043.324308,5570.817671,11613.20828
2012,0.31167,9498.343282,6532.580716,13810.54885
2013,0.32767,7552.235216,5054.129072,11285.08116
2014,0.34484,6319.000163,4378.02387,9120.499167
2015,0.36381,9746.188961,6917.74237,13731.09812
2016,0.38233,10854.07641,7664.618039,15370.75613
2017,0.40028,8072.067344,5719.913885,11391.47765
2018,,7443.411733,5133.738617,10792.20863
2019,,7967.609045,4837.680289,13122.5691
2021,,5677.111305,4027.172567,8003.032458
2022,,14590.85327,10429.77549,20412.04044
2023,,19293.72869,13708.10069,27155.32775
2024,,20319.71283,14090.0617,29303.685
2025,,8753.762143,6162.340066,12434.94368
