Year,Depletion,Indicator,CI_low,CI_high
2003,0.68918,285336.7898,253167.3864,321593.8862
2004,0.70236,290151.4902,256988.5119,327593.9717
2005,0.71865,304475.4837,272514.2759,340185.1879
2006,0.73613,289632.3775,260333.0231,322229.2473
2007,0.75468,340577.5294,306352.9937,378625.4938
2008,0.76492,304187.4378,274285.0374,337349.781
2009,0.76698,271521.0859,244456.2453,301582.3955
2010,0.76229,246895.348,223927.0555,272219.508
2011,0.75462,242202.9623,218599.7035,268354.7782
2012,0.74852,252968.0828,229096.3748,279327.2088
2013,0.74258,285222.8592,251657.1591,323265.508
2014,0.73782,292181.135,262757.4361,324899.7133
2015,0.73964,274005.7537,247057.465,303893.4811
2016,0.74609,286930.9355,259474.0155,317293.2811
2017,0.75409,340555.4379,304759.137,380556.2891
2018,0.76232,320041.7866,289725.2153,353530.6551
2019,0.77204,293430.2976,253989.0862,338996.2177
2021,0.78085,324234.7381,292802.8783,359040.7512
2022,,405022.0723,364690.3053,449814.2031
2023,,381722.6067,342265.5636,425728.3348
2024,,338752.1538,305432.8691,375706.1971
2025,,409984.9081,368805.7528,455761.9386
