Year,Depletion,Indicator,CI_low,CI_high
2003,0.68297,37315.79196,31103.57448,44768.75578
2004,0.705824,37524.98697,31774.46696,44316.23192
2005,0.72356,29952.7531,26098.42,34376.31161
2006,0.74139,20158.87286,16997.63511,23908.04086
2007,0.757464,19616.14913,16564.88269,23229.46163
2008,0.778402,14563.76554,12327.60388,17205.55501
2009,0.805775,15623.76529,13202.84413,18488.59529
2010,0.829226,17893.24938,15286.6928,20944.25378
2011,0.85282,18065.34742,15587.14478,20937.5599
2012,0.874004,17945.7163,15622.8273,20613.98538
2013,0.891063,27435.83323,23064.94581,32635.01901
2014,,28779.21947,25026.21062,33095.04127
2015,,35734.13324,30816.76201,41436.15991
2016,,30818.79522,26645.34453,35645.93199
2017,,32105.63206,28033.82109,36768.85884
2018,,35043.14727,30172.59175,40699.92333
2019,,32033.76761,26195.75191,39172.85028
2021,,28356.52222,24231.08808,33184.3271
2022,,42294.09067,35375.5513,50565.7167
2023,,33187.77185,28525.79428,38611.65757
2024,,25032.55141,21596.77492,29014.91693
2025,,42365.27827,36432.55105,49264.09904
