Year,Depletion,Indicator,CI_low,CI_high
2003,0.65341,14745.62334,10638.13571,20439.05187
2004,0.67136,14794.12066,10736.59419,20385.04968
2005,0.69445,17829.14522,13531.93937,23490.97277
2006,0.7221,14645.15452,10954.55752,19579.11586
2007,0.75074,15455.99887,11622.62164,20553.70194
2008,0.78045,16666.01453,12336.71676,22514.58358
2009,0.80909,12703.84544,9453.15372,17072.3648
2010,,16468.47903,12574.85868,21567.70174
2011,,19329.28697,14732.66951,25360.05675
2012,,18961.79396,14247.55185,25235.88853
2013,,18609.67505,13322.47479,25995.17065
2014,,17290.1547,13195.36974,22655.63266
2015,,13152.6288,9940.419741,17402.85107
2016,,30389.46017,22396.50053,41234.9817
2017,,20605.58157,15568.7008,27272.02466
2018,,27800.15178,20665.9708,37397.15142
2019,,22714.58387,15267.25008,33794.71205
2021,,21295.73238,15922.09949,28482.94083
2022,,24689.98235,18089.69179,33698.48615
2023,,17516.11934,13028.85402,23548.84293
2024,,22396.7788,16546.82785,30314.91627
2025,,21777.45558,16100.99726,29455.16753
