Year,Depletion,Indicator,CI_low,CI_high
2003,0.4951,197215.1625,174097.9856,223401.8974
2004,0.5099,207325.2911,179902.2194,238928.5495
2005,0.5381,181102.5992,161042.7655,203661.1291
2006,0.5684,180761.6554,161120.8671,202796.6747
2007,0.5989,199236.4778,178246.2193,222698.5471
2008,0.6305,205515.0629,184002.8504,229542.3196
2009,0.6568,230811.0522,206110.3769,258471.9052
2010,0.684,214798.0672,192590.6806,239566.1593
2011,0.7075,233101.1473,208552.3804,260539.5572
2012,0.7333,211486.4938,188990.8043,236659.8587
2013,0.7521,198977.3859,173160.7639,228643.0205
2014,,206171.9821,183706.3389,231384.9726
2015,,201206.0542,179417.6028,225640.4925
2016,,204651.1928,182711.6614,229225.1649
2017,,257941.5524,230175.89,289056.5317
2018,,234369.4025,209524.3588,262160.5293
2019,,197335.6202,167217.3318,232878.6531
2021,,255008.2651,226776.0577,286755.2066
2022,,261579.3718,231003.448,296202.3655
2023,,245744.4835,217703.3171,277397.4783
2024,,264804.8245,234731.7233,298730.7981
2025,,256334.2328,228216.4424,287916.3229
