Year,Depletion,Indicator,CI_low,CI_high
2003,0.57273,46646.09171,40713.40036,53443.28532
2004,0.57186,62485.84375,54356.68423,71830.73664
2005,0.57784,50415.90959,44838.56217,56687.00815
2006,0.58163,57716.52062,51261.82494,64983.96725
2007,0.58172,56364.92535,50359.03531,63087.08636
2008,0.58087,56822.55557,50608.84399,63799.18146
2009,0.57508,48906.28938,43366.33173,55153.96496
2010,0.57201,57319.54374,51127.62037,64261.35367
2011,0.56823,56182.94438,50209.35666,62867.23131
2012,0.56854,62647.27088,56063.0561,70004.75574
2013,0.56644,69030.03968,60366.18898,78937.33989
2014,0.56377,60739.92346,54324.11333,67913.4564
2015,0.56329,53232.00371,47707.41845,59396.34362
2016,0.5633,62083.73707,55391.30824,69584.7513
2017,0.56205,57331.96509,51288.19386,64087.93085
2018,0.56216,61231.27044,54760.7604,68466.3334
2019,0.565,53712.57318,46046.28292,62655.23154
2021,,56742.00205,50710.52552,63490.85842
2022,,71126.38963,63161.08894,80096.20141
2023,,66272.96391,59162.64606,74237.81792
2024,,59811.97924,53271.93643,67154.92434
2025,,68743.35856,61665.80379,76633.22387
