Year,Depletion,Indicator,CI_low,CI_high
2003,0.4689,10531.79769,5356.647263,20706.75127
2004,0.4752,5912.767983,2366.187521,14775.17099
2005,0.4816,6534.737175,3025.415553,14114.6858
2006,0.4952,6585.041371,2811.963602,15420.81478
2007,0.5184,4924.643994,2364.791464,10255.49983
2008,0.5436,3180.082379,1449.184743,6978.353855
2009,0.5639,4136.401018,2121.343596,8065.55497
2010,0.5771,8612.606299,4373.613951,16960.1131
2011,0.5852,7045.991297,3426.492413,14488.86715
2012,0.5903,8235.179035,4295.13363,15789.53755
2013,0.5937,7269.918535,3826.644699,13811.5032
2014,0.6092,4503.612173,2391.926106,8479.577423
2015,0.6555,6551.303746,3418.190909,12556.22694
2016,0.7157,13112.48933,5538.992455,31041.27293
2017,0.7664,10916.32855,4675.010314,25490.04621
2018,,12076.40232,5492.664828,26551.68258
2019,,19177.32726,6948.158291,52930.55591
2021,,4997.887944,3016.700005,8280.201498
2022,,12643.02465,6242.047164,25607.95651
2023,,32829.45374,15394.13496,70011.92569
2024,,18327.63995,9160.974986,36666.66341
2025,,17122.66835,8967.202312,32695.34479
