Year,Depletion,Indicator,CI_low,CI_high
2003,0.118898,18611.48631,15461.78412,22402.8107
2004,0.128422,23210.38483,19555.78763,27547.95534
2005,0.14228,23951.85393,20548.12977,27919.39283
2006,0.139238,21617.55613,18331.38182,25492.82631
2007,0.130203,18429.51617,15692.28668,21644.20477
2008,0.122151,16856.25783,14340.97849,19812.69467
2009,0.113499,16708.90951,14296.8051,19527.9753
2010,0.115858,24707.52701,21351.08362,28591.61164
2011,0.149415,32361.25548,28008.32506,37390.69916
2012,0.203903,38405.61368,33110.20375,44547.93373
2013,0.275008,56156.882,47211.46216,66797.24058
2014,0.336073,58128.4416,50542.80223,66852.5601
2015,0.382873,53075.98413,45956.12535,61298.90346
2016,0.406717,61149.39421,52818.00429,70794.95832
2017,0.415025,62827.10047,54343.52985,72635.04164
2018,0.410349,42513.78644,36551.23611,49448.99899
2019,0.400469,45214.15833,36836.79,55496.69538
2021,0.390165,52571.88714,45284.51482,61031.97369
2022,0.367438,52697.37309,45050.30047,61642.49965
2023,0.335518,51764.42315,44385.59996,60369.92869
2024,,44194.91237,38018.08669,51375.29133
2025,,65791.07694,56602.07383,76471.85893
