Year,Catch,Source
2003,2069.577292,Reported
2004,1963.965416,Reported
2005,2734.363857,Reported
2006,2610.203301,Reported
2007,2252.835261,Reported
2008,2219.714406,Reported
2009,1767.442626,Reported
2010,803.0995222,Reported
2011,934.5089252,Reported
2012,1117.719199,Reported
2013,2253.363328,Reported
2014,2408.735906,Reported
2015,2665.17338,Reported
2016,2727.628478,Reported
2017,2930.61577,Reported
2018,2894.43949,Reported
2019,2616.912622,Reported
2021,2092.1315,Reported
2022,2879.108253,Reported
2023,3059.937435,Reported
2003,1224.547,Indicator
2004,1527.132,Indicator
2005,1575.917,Indicator
2006,1422.332,Indicator
2007,1212.574,Indicator
2008,1109.061,Indicator
2009,1099.366,Indicator
2010,1625.637,Indicator
2011,2129.215,Indicator
2012,2526.905,Indicator
2013,3694.854,Indicator
2014,3824.573,Indicator
2015,3492.145,Indicator
2016,4023.337,Indicator
2017,4133.722,Indicator
2018,2797.203,Indicator
2019,2974.875,Indicator
2021,3458.978,Indicator
2022,3467.234,Indicator
2023,3405.851,Indicator
