Year,Depletion,Indicator,CI_low,CI_high
2003,0.9002,572.6641934,327.1273456,1002.497293
2004,0.90135,1015.43765,547.26739,1884.11303
2005,0.90226,1354.485925,729.9755189,2513.278973
2006,0.90266,852.200783,481.5348668,1508.190215
2007,0.90319,1018.343332,599.9210987,1728.599217
2008,0.90209,1122.497541,655.9020961,1921.01952
2009,0.8998,1382.112646,730.6623909,2614.388519
2010,0.89695,909.1510421,499.4275353,1655.0061
2011,0.89292,1075.961515,589.7756318,1962.938308
2012,0.88942,722.3051826,358.7721554,1454.195285
2013,0.88498,1529.298293,764.2222502,3060.305125
2014,0.8825,413.4889311,193.0304711,885.7311241
2015,0.8814,1346.050992,775.0091772,2337.847507
2016,0.87928,954.1441398,523.3763359,1739.45778
2017,0.87674,605.1652481,315.7866117,1159.722939
2018,0.87408,1048.563638,554.5546113,1982.6464
2019,0.86958,986.5653056,354.8153114,2743.148537
2021,0.8654,1041.902368,579.7892269,1872.336522
2022,0.866,571.0348298,262.3858585,1242.752863
2023,0.8669,845.5708775,453.4649746,1576.726206
2024,0.8693,483.3168257,222.6758313,1049.036856
2025,0.872,647.9720405,335.3047469,1252.197499
