Year,Depletion,Indicator,CI_low,CI_high
2003,0.78598,64598.83861,30784.48407,135555.6241
2004,0.79893,24611.02637,10021.14059,60442.48292
2005,0.81019,8944.766381,3740.048303,21392.46318
2006,0.82215,11197.46236,5033.096938,24911.73223
2007,0.83374,12067.89366,4952.489551,29406.23214
2008,0.84459,23882.90258,8627.486559,66113.46555
2009,0.85492,6377.535432,2768.088348,14693.51881
2010,0.86465,2734.103819,1224.193776,6106.323884
2011,0.87385,16196.7734,7664.779458,34226.09482
2012,0.88248,10329.46553,4582.2312,23285.13197
2013,0.89006,12041.89535,5193.895452,27918.78369
2014,,14838.26027,7265.2884,30304.91782
2015,,17284.4794,8383.058055,35637.73817
2016,,9669.770164,4743.856946,19710.63969
2017,,16281.59012,7860.424943,33724.66229
2018,,12515.20225,5764.085769,27173.48312
2019,,11603.74945,4699.081833,28653.89581
2021,,17006.88272,8410.922849,34387.91024
2022,,10072.76807,4271.217226,23754.50632
2023,,8333.662746,3648.510903,19035.14519
2024,,34336.48755,16303.80312,72314.07107
2025,,13503.76442,5827.242027,31292.96034
