Year,Depletion,Indicator,CI_low,CI_high
2003,0.3765,46281.51738,34217.29346,62599.30678
2004,0.3706,42718.75187,31094.53094,58688.51228
2005,0.3648,42836.70549,33675.54979,54490.07806
2006,0.3569,47176.74959,37030.6232,60102.84218
2007,0.3522,33784.45323,26366.91942,43288.6854
2008,0.3476,38412.96314,30773.60277,47948.74842
2009,0.3411,17959.80182,13773.41178,23418.63342
2010,0.3397,22215.34874,17132.60139,28806.00023
2011,0.3394,28893.0528,21654.62492,38551.04872
2012,0.3392,31972.44768,22559.0001,45313.95036
2013,0.3396,11828.974,8294.639263,16869.28407
2014,0.3396,26071.03185,19609.55982,34661.59915
2015,0.34,15255.07785,11126.79891,20915.03604
2016,0.3405,19322.15633,13119.43446,28457.45571
2017,0.3414,9484.333756,6361.784978,14139.52014
2018,0.3427,23769.60894,15889.60169,35557.48724
2019,0.3428,23848.59918,13969.2704,40714.77368
2021,0.3438,9258.74555,6552.060159,13083.57479
2022,,19926.11252,12957.29663,30642.96291
2023,,10269.56545,7723.682554,13654.62314
2024,,8641.812237,5836.961755,12794.48485
2025,,14062.03726,10048.96842,19677.73047
