Year,Depletion,Indicator,CI_low,CI_high
2003,0.39874,112095.3355,70018.1373,179458.7048
2004,0.42042,163635.5354,96197.64372,278349.7331
2005,0.4518,154655.2282,95715.26874,249889.4893
2006,0.49521,95385.50649,60301.50154,150881.7296
2007,0.54244,169201.7216,107319.4646,266766.3568
2008,0.5983,121225.4536,78254.28743,187793.0409
2009,0.65554,107338.6644,69991.51822,164614.0728
2010,,102501.3251,64071.3441,163981.6022
2011,,85193.47897,53837.35821,134812.1286
2012,,79681.54522,50215.17066,126438.8543
2013,,105792.2353,62843.75573,178092.428
2014,,55255.92057,35041.9251,87130.3945
2015,,76008.31974,47774.93698,120926.6832
2016,,87543.75634,55127.33619,139021.9409
2017,,97486.62078,61213.81522,155253.2087
2018,,128093.1554,77541.57353,211600.7675
2019,,75667.86905,41742.56659,137165.1739
2021,,92633.05837,58179.52121,147489.758
2022,,114003.6477,72431.65429,179435.7979
2023,,111595.6639,69597.3958,178937.6177
2024,,123451.9844,76428.50051,199407.1892
2025,,87420.5829,53939.65372,141683.4886
