Year,Depletion,Indicator,CI_low,CI_high
2003,0.1678,1400.131331,632.0585116,3101.560549
2004,0.1736,577.9627466,167.508344,1994.174908
2005,0.1796,358.9507549,135.4879269,950.9750973
2006,0.1854,852.297531,334.3300882,2172.736188
2007,0.1914,545.9195118,186.1564516,1600.955062
2008,0.197,890.9262098,363.7062457,2182.391754
2009,0.2027,730.9934517,191.7537354,2786.654588
2010,0.2085,828.4409065,345.1254775,1988.593657
2011,0.2149,749.1219674,264.6974223,2120.095153
2012,0.2217,490.1271448,193.3090062,1242.697497
2013,0.2289,868.6294069,318.0292348,2372.477005
2014,0.2371,1711.057822,818.2754719,3577.913516
2015,0.2462,656.9700839,242.3580976,1780.875883
2016,0.256,1296.786772,625.0143974,2690.587512
2017,0.2671,715.5960476,314.3440597,1629.035725
2018,0.2785,601.7597918,285.5371289,1268.188303
2019,0.2917,813.839266,277.349479,2388.085794
2021,0.32309,688.9905447,303.6664258,1563.254711
2022,0.34145,780.3859709,335.9596436,1812.72446
2023,0.36028,492.8068492,177.142156,1370.981341
2024,0.37991,872.5237999,413.4332992,1841.404122
2025,0.40137,529.4884436,207.8773643,1348.670226
